cod interno do cliente,Descrição,codigo fornecedores,Detalhe,Aplicação,Diam.Copinho,Diam.Rolamento,Face a Face Cruzeta
050.42N.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU823,JUNTA 30°/COMPRIMENTO 214.50mm/FLANGE 4 FUROS + BASE DE SOLDA Ө 24.00mm/APLICA CRUZETA CZ205(STH),DIVERSAS COLUNAS MB ONIBUS,19.00mm,,47.00mm
050.42O.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28118,JUNTA 30°/COMPRIMENTO 110.00mm/36 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E FORD,19.00mm,,47.00mm
050.42O.STH,JUNTA UNIVERSAL COLUNA DIRECAO,HJU842,JUNTA 30°/COMPRIMENTO 110.00mm/36 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E FORD,19.00mm,,47.00mm
050.42P.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28.115,JUNTA 30°/COMPRIMENTO 110.00mm/54 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E AGRALE,19.00mm,,47.00mm
050.42P.STH,JUNTA UNIVERSAL COLUNA DIRECAO,RJU861,JUNTA 30°/COMPRIMENTO 110.00mm/54 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E AGRALE,19.00mm,,47.00mm
050.42Q.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28.117,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E MB,19.00mm,,47.00mm
050.42Q.STH,JUNTA UNIVERSAL,HJU972,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E MB,19.00mm,,47.00mm
050.42R.LN,JUNTA UNIVERSAL COLUNA DIRECAO,46.052A,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIAS + BASE DE SOLDA Ө 34.10mm,DIVERSAS COLUNAS VW E MB,19.00mm,,47.00mm
050.42R.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,04.12021.418X,JUNTA 30°/COMPRIMENTO 110.00mm/SEM BASE DE SOLDA,DIVERSAS COLUNAS AGRALE,19.00mm,,47.00mm
050.42R.STH,JUNTA UNIVERSAL COLUNA DIRECAO,RJU892,66 ESTRIAS FINA / USINADO,,19.00mm,,47.00mm
050.42S.LN,JUNTA UNIVERSAL COLUNA DIRECAO,28111,JUNTA 90°/COMPRIMENTO 110.00mm/FURO LISO Ө 22.20mm DOS DOIS LADOS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42S.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,1906.010X,JUNTA 90°/COMPRIMENTO 110.00mm/FURO LISO Ө 22.20mm DOS DOIS LADOS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42S.STH,JUNTA UNIVERSAL,HJU818,JUNTA 90°/COMPRIMENTO 110.00mm/FURO LISO Ө 22.20mm DOS DOIS LADOS,DIVERSAS COLUNAS SCANIA,19.00mm,,47.00mm
050.42T.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,04.12021.415X,,DIVERSAS COLUNAS MB E VOLVO,19.00mm,,47.00mm
050.42T.STH,JUNTA UNIVERSAL COLUNA DIRECAO,RJU893,54 ESTRIAS FINA ENCAIXE MENOR / USINADO,,19.00mm,,47.00mm
050.42U.SPI,JUNTA UNIVERSAL COLUNA DIRECAO,04.13700.422X,JUNTA 30°/COMPRIMENTO 110.00mm/79 ESTRIASX36 ESTRIAS/SEM LUBRIFICACAO/APLICA CRUZETA CZ204(STH),"DIVERSAS COLUNAS FORD, VW,AGRA",19.00mm,,47.00mm
050.42U.STH,JUNTA UNIVERSAL,HJU837,JUNTA UNIVERSAL BASCULANTE COM FURO 13/16 REDONDOX 3/4 QUADRADO 144MM ATE 6M3,BASCULANTE,19.00mm,,47.00mm
050.42V.STU,JUNTA UNIVERSAL,CRI-1140,JUNTA CRI-1140 (14X03) D.1” CURTO X QUAD.7/8” LONGO,,19.00mm,,47.00mm
050.42X.STH,JUNTA UNIVERSAL,RJU842,90º/36 ESTRIAS LADO 1/ LADO 2 TUBO,,19.00mm,,47.00mm
050.42Z.STH,JUNTA UNIVERSAL,RJU972,90°/ 79 ESTRIAS LADO 1/ TUBO LADO 2,,19.00mm,,47.00mm
050.43.JR,COLUNA DE DIRECAO,,,,,,
050.43.SPI,COLUNA DE DIRECAO,2106.1076/07X,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 995.00mm FACE A FACE FECHADO,VOLVO N10/VOLVO N12,19.00mm,,47.00mm
050.43.STH,COLUNA DE DIRECAO,RCD114,MONTA LADO1=SEM JUNTA 79 ESTRIAS LADO2=SEM JUNTA 79 ESTRIAS/MEDE 995.00mm FACE A FACE FECHADO,VOLVO N10/VOLVO N12,19.00mm,,47.00mm
